date,gdp,employment,expenditure,exports,imports,min_wage,personal_income,disposable_income
2008-01-01,1920582.3,15433.7333,321639.175,34812.400000,82572.200000,8.00,1591475.0,345697.675
2008-04-01,1964303.1,15401.0667,321639.175,38405.900000,91073.000000,8.00,1609955.8,345697.675
2011-04-01,2022198.7,14399.9667,336420.550,39914.700000,85763.200000,8.00,1706267.6,376611.100
2012-07-01,2118154.5,14805.1667,350241.975,39177.800000,95445.900000,8.00,1808445.3,400728.375
2012-10-01,2159729.7,14896.7333,350241.975,40556.800000,98310.500000,8.00,1905728.1,400728.375
2013-01-01,2167627.5,15000.9333,360766.900,39406.463553,86303.866629,8.00,1817215.5,400888.100
2013-04-01,2191853.4,15104.4667,360766.900,41626.097174,94786.354938,8.00,1848098.9,400888.100
2017-01-01,2649399.8,16676.0667,434588.400,41551.023631,99344.454159,10.50,2275859.5,496160.750
2017-04-01,2697330.3,16795.0000,434588.400,42567.203717,109036.853225,10.50,2303674.2,496160.750
2017-07-01,2754033.6,16871.5000,434588.400,42369.559595,111780.655875,10.50,2330495.9,496160.750
2017-10-01,2814208.6,16967.5667,434588.400,45432.643642,120061.230793,10.50,2363094.0,496160.750
2018-01-01,2830221.0,17072.3667,458468.200,44145.317788,104393.656821,11.00,2380758.2,519548.325
2018-04-01,2887010.8,17133.7333,458468.200,45480.173474,107650.010302,11.00,2415395.5,519548.325
2018-07-01,2923407.4,17200.8000,458468.200,43653.946443,112536.267524,11.00,2449813.4,519548.325
2018-10-01,2948163.4,17286.4667,458468.200,44895.797942,115618.695262,11.00,2481128.3,519548.325
2019-07-01,3062616.7,17465.4000,479300.325,42133.857578,105372.747194,12.00,2573734.6,549732.925
2019-10-01,3108710.4,17540.6000,479300.325,44158.965069,103375.689907,12.00,2615897.1,549732.925
2020-01-01,3074465.6,17600.8667,462162.925,41005.081350,87272.515494,12.00,2645899.5,600949.850
2020-04-01,2812435.1,15212.2667,462162.925,32651.998243,85969.345602,12.00,2819977.7,600949.850
2020-07-01,3060840.2,15793.0333,462162.925,39349.096224,109512.648754,12.00,2873658.5,600949.850
2020-10-01,3132952.5,16135.9333,462162.925,42918.595561,112603.130858,12.00,2822558.1,600949.850
2021-04-01,3331416.0,16594.4000,,45163.316642,116335.801087,13.00,2960283.0,631954.475
2022-01-01,3497723.7,17461.9000,,45362.947506,127690.353936,14.00,2963583.8,616849.650
2022-04-01,3558511.9,17655.0667,,48274.451154,132692.505978,14.00,2980388.9,
2022-07-01,3634821.3,17781.2333,,46304.912398,128941.380112,14.00,3024918.6,
2022-10-01,3701354.1,17876.4333,,45607.221619,119433.961599,14.00,3104993.3,
2011-07-01,2027032.7,14459.2000,336420.550,40546.000000,93262.900000,8.00,1725332.9,376611.100
2010-07-01,1953261.5,14281.4333,322586.800,36069.600000,87720.400000,8.00,1613533.6,358967.225
2005-01-01,1657292.4,14907.1667,276699.400,28304.000000,,6.75,1357135.3,304236.675
2005-10-01,1740674.1,15184.6667,276699.400,31307.800000,,6.75,1433295.8,304236.675
2010-10-01,2006132.2,14334.5000,322586.800,38742.600000,86332.200000,8.00,1652871.8,358967.225
2009-10-01,1892186.4,14244.6333,311349.375,33644.500000,77594.500000,8.00,1547249.3,344835.650
2010-04-01,1937908.1,14309.5333,322586.800,35453.300000,82594.200000,8.00,1607697.2,358967.225
2010-01-01,1919069.0,14200.0333,322586.800,33003.300000,70488.600000,8.00,1582060.4,358967.225
2006-01-01,1789641.0,15241.7667,294295.225,30374.300000,,6.75,1482238.1,326521.075
2006-04-01,1797006.6,15310.1000,294295.225,32613.100000,,6.75,1492347.9,326521.075
2006-10-01,1841980.7,15386.0333,294295.225,33016.600000,,6.75,1529882.5,326521.075
2012-04-01,2094742.1,14718.5000,350241.975,42085.600000,95646.000000,8.00,1808358.6,400728.375
2006-07-01,1820211.6,15366.6000,294295.225,31742.100000,,6.75,1510549.2,326521.075
2013-07-01,2228668.7,15196.4000,360766.900,41988.075598,98880.413967,8.00,1867393.2,400888.100
2011-10-01,2037160.0,14513.7333,336420.550,41430.400000,93345.200000,8.00,1729080.6,376611.100
2012-01-01,2079759.5,14627.3333,350241.975,39879.400000,86897.600000,8.00,1786135.4,400728.375
2013-10-01,2293409.9,15303.5000,360766.900,45170.915235,101098.309780,8.00,1896095.8,400888.100
2014-01-01,2277808.7,15413.7333,377824.050,42105.852595,89338.965876,9.00,1923713.3,426111.600
2014-04-01,2315807.3,15523.5000,377824.050,44001.554518,99971.943167,9.00,1960824.8,426111.600
2014-07-01,2367246.4,15619.0667,377824.050,42818.409907,104339.477946,9.00,2003994.1,426111.600
2014-10-01,2380283.6,15741.5333,377824.050,44942.770842,110157.650847,9.00,2034415.2,426111.600
2015-01-01,2434212.2,15848.9667,395347.325,40253.383236,92789.764288,9.00,2084189.7,453805.675
2015-04-01,2476522.9,15962.3667,395347.325,43610.925230,102746.825884,9.00,2117632.1,453805.675
2015-07-01,2489391.9,16131.3667,395347.325,41149.477340,106325.951882,9.00,2138781.8,453805.675
2015-10-01,2494096.5,16253.6333,395347.325,40346.591994,106474.622383,9.00,2161117.7,453805.675
2016-01-01,2533323.0,16328.9667,412812.250,37770.136714,94363.014984,10.00,2188444.1,474763.750
2016-04-01,2546150.8,16439.6000,412812.250,40703.999906,99552.447094,10.00,2202876.8,474763.750
2016-07-01,2586282.9,16538.0333,412812.250,41204.455729,104427.943628,10.00,2229957.3,474763.750
2016-10-01,2612779.4,16609.8333,412812.250,43582.031236,111718.726702,10.00,2252552.9,474763.750
2019-01-01,2970816.1,17333.5333,479300.325,43867.502935,94896.629935,12.00,2524160.5,549732.925
2019-04-01,3028633.1,17389.8667,479300.325,43594.182145,103871.088022,12.00,2555910.3,549732.925
2021-01-01,3225265.8,16184.1333,520701.700,40937.813149,104197.286486,13.00,3087766.5,631954.475
2021-07-01,3416146.0,16946.5667,,43698.230618,123343.130106,13.00,2993208.6,631954.475
2021-10-01,3520134.9,17266.8333,,45127.305487,126444.851299,13.00,2983477.6,631954.475
2005-04-01,1680340.0,14989.8333,276699.400,29086.800000,,6.75,1381421.7,304236.675
2005-07-01,1715935.1,15098.8000,276699.400,28119.900000,,6.75,1407566.7,304236.675
2008-10-01,1917821.8,15065.8000,321639.175,33561.200000,79769.100000,8.00,1575272.5,345697.675
2009-01-01,1910813.6,14741.5667,311349.375,27631.300000,56273.800000,8.00,1542063.0,344835.650
2011-01-01,2007608.8,14373.2333,336420.550,37463.100000,78988.000000,8.00,1700226.8,376611.100
2009-04-01,1881658.2,14487.7333,311349.375,28719.300000,63519.700000,8.00,1541037.8,344835.650
2007-01-01,1855811.4,15437.2333,311923.450,31961.900000,,7.50,1553525.0,339355.325
2007-04-01,1883992.9,15445.6000,311923.450,33019.900000,,7.50,1571734.9,339355.325
2007-07-01,1910858.6,15490.7333,311923.450,33484.800000,,7.50,1574648.7,339355.325
2008-07-01,1976074.2,15300.3333,321639.175,38033.800000,94854.200000,8.00,1602266.6,345697.675
2009-07-01,1876005.3,14274.6000,311349.375,30147.300000,73026.400000,8.00,1533140.3,344835.650
2007-10-01,1944945.1,15474.3667,311923.450,35685.100000,,7.50,1590976.9,339355.325
